,,foundOptimal,evaluations,evaluations,elapsedMillis,elapsedMillis
,,mean,mean,std,mean,std
crossover,mutation,,,,,
0.1,0.01,1.0,110.7,26.781555670609038,3.1333333333333333,5.888231004963723
0.1,0.02,1.0,109.26666666666667,27.862882655695508,2.933333333333333,5.85416641101157
0.1,0.03,1.0,110.2,38.89987146508327,3.3333333333333335,6.509056467104431
0.1,0.04,1.0,108.3,29.05066917147254,3.0,6.280786245532398
0.1,0.05,1.0,108.3,29.05066917147254,3.433333333333333,7.171222823313273
0.1,0.06,1.0,109.03333333333333,29.818396697495245,3.2333333333333334,6.339168515764853
0.1,0.07,1.0,108.33333333333333,24.968025529676442,3.2333333333333334,6.4950024997119415
0.1,0.08,1.0,108.4,28.79487502293085,3.2333333333333334,6.032574410895277
0.1,0.09,1.0,107.96666666666667,24.259350608662693,3.066666666666667,6.011100842053254
0.1,0.1,1.0,108.6,25.47696728554962,3.1,6.093241026489642
0.2,0.01,1.0,1295.6666666666667,6503.099936308008,9.5,35.836554252462044
0.2,0.02,1.0,146.03333333333333,205.7997827372824,3.8666666666666667,8.916212793261085
0.2,0.03,1.0,108.16666666666667,20.40973961775034,3.2666666666666666,6.627702224874711
0.2,0.04,1.0,109.0,22.431504938213653,3.5,6.760687579804597
0.2,0.05,1.0,116.63333333333334,49.769457005021785,3.566666666666667,7.098729042792695
0.2,0.06,1.0,114.13333333333334,36.20319411830696,3.2,6.348499687001809
0.2,0.07,1.0,113.33333333333333,38.8368233841893,3.2,6.407969176386326
0.2,0.08,1.0,111.03333333333333,29.014245411204634,3.1,6.002011157190102
0.2,0.09,1.0,111.06666666666666,33.85968341434308,3.0,5.711452499598716
0.2,0.1,1.0,110.53333333333333,26.828617419533163,3.2,6.155457348760837
0.3,0.01,1.0,1084.1666666666667,4614.975212570884,8.333333333333334,27.382769983221618
0.3,0.02,1.0,109.6,31.026795982916397,3.3,6.742300845383212
0.3,0.03,1.0,109.6,25.39562818743578,3.1,5.996263204179176
0.3,0.04,1.0,109.93333333333334,26.825018344735607,3.1,5.938477687200593
0.3,0.05,1.0,106.66666666666667,16.599404503928973,2.933333333333333,5.877680361909927
0.3,0.06,1.0,108.23333333333333,21.592916037175378,2.966666666666667,5.9566441219366375
0.3,0.07,1.0,106.63333333333334,16.558117778534374,3.1,5.731642359562486
0.3,0.08,1.0,108.06666666666666,22.109341656995287,3.1333333333333333,5.992715884985782
0.3,0.09,1.0,109.1,25.733849973969278,3.066666666666667,6.214184737680639
0.3,0.1,1.0,109.1,25.733849973969278,3.0,5.795360808142297
