,bestFitness,bestFitness,foundOptimal,elapsedMillis,elapsedMillis
,mean,std,mean,mean,std
crossover,,,,,
0.1,3800.0,0.0,1.0,38.60666666666667,3.3857791654822367
0.2,3799.6666666666665,5.7735026918962244,0.9966666666666667,41.14,3.801126395282022
0.3,3799.3333333333335,8.151300584956568,0.9933333333333333,41.99333333333333,3.8777241656119372
0.4,3799.6666666666665,5.773502691896219,0.9966666666666667,40.596666666666664,3.6356634954842657
0.5,3799.3333333333335,8.151300584956559,0.9933333333333333,41.07333333333333,3.3693417410699014
0.6,3799.0,9.966499068325458,0.99,41.026666666666664,3.937550410216854
0.7,3799.6666666666665,5.773502691896209,0.9966666666666667,41.36,3.392456711854407
0.8,3797.6666666666665,15.121212222762994,0.9766666666666667,40.42666666666667,3.6325298529625902
0.9,3798.6666666666665,11.488931224931052,0.9866666666666667,41.81666666666667,4.131984981642272
1.0,3798.0,14.023391829177974,0.98,39.93666666666667,2.5614825521767486
