,evaluations,evaluations,elapsedMillis,elapsedMillis
,mean,std,mean,std
crossover,,,,
0.1,108.91,28.341241797459645,3.17,6.185085632465927
0.2,233.56,2057.323456764278,3.94,12.945333994949797
0.3,206.11,1467.0189614808944,3.6033333333333335,10.344532536573274
0.4,180.4,1170.0795159212876,3.513333333333333,10.358611150734895
0.5,171.51333333333332,726.4925472613675,3.7133333333333334,8.809265923404348
0.6,219.39666666666668,1252.4847648879706,4.14,11.806709730014934
0.7,134.29666666666665,249.588655549122,3.4033333333333333,7.143113405181699
0.8,300.98,1578.5337380431458,4.45,12.388128150109898
0.9,272.61,1323.3021877739125,4.5633333333333335,11.90932810342965
1.0,275.73,1267.328210479402,4.783333333333333,12.981195129063362
