seed,mode,popsize,maxEvals,crossover,mutation,bestFitness,foundOptimal,evaluations,elapsedMillis
1000,0,100,20000,0.600000,0.010000,3800.000000,true,20000,143
1001,0,100,20000,0.600000,0.010000,3800.000000,true,20000,143
1002,0,100,20000,0.600000,0.010000,3800.000000,true,20000,142
1003,0,100,20000,0.600000,0.010000,3800.000000,true,20000,141
1004,0,100,20000,0.600000,0.010000,3800.000000,true,20000,186
1005,0,100,20000,0.600000,0.010000,3800.000000,true,20000,143
1006,0,100,20000,0.600000,0.010000,3800.000000,true,20000,141
1007,0,100,20000,0.600000,0.010000,3800.000000,true,20000,142
1008,0,100,20000,0.600000,0.010000,3800.000000,true,20000,162
1009,0,100,20000,0.600000,0.010000,3800.000000,true,20000,155
1010,0,100,20000,0.600000,0.010000,3800.000000,true,20000,162
1011,0,100,20000,0.600000,0.010000,3800.000000,true,20000,146
1012,0,100,20000,0.600000,0.010000,3800.000000,true,20000,140
1013,0,100,20000,0.600000,0.010000,3800.000000,true,20000,152
1014,0,100,20000,0.600000,0.010000,3800.000000,true,20000,153
1015,0,100,20000,0.600000,0.010000,3800.000000,true,20000,145
1016,0,100,20000,0.600000,0.010000,3800.000000,true,20000,148
1017,0,100,20000,0.600000,0.010000,3800.000000,true,20000,150
1018,0,100,20000,0.600000,0.010000,3800.000000,true,20000,158
1019,0,100,20000,0.600000,0.010000,3800.000000,true,20000,174
1020,0,100,20000,0.600000,0.010000,3800.000000,true,20000,152
1021,0,100,20000,0.600000,0.010000,3800.000000,true,20000,150
1022,0,100,20000,0.600000,0.010000,3800.000000,true,20000,143
1023,0,100,20000,0.600000,0.010000,3800.000000,true,20000,152
1024,0,100,20000,0.600000,0.010000,3800.000000,true,20000,155
1025,0,100,20000,0.600000,0.010000,3800.000000,true,20000,140
1026,0,100,20000,0.600000,0.010000,3800.000000,true,20000,144
1027,0,100,20000,0.600000,0.010000,3700.000000,false,20000,190
1028,0,100,20000,0.600000,0.010000,3800.000000,true,20000,197
1029,0,100,20000,0.600000,0.010000,3800.000000,true,20000,172
1000,0,100,20000,0.600000,0.020000,3800.000000,true,20000,157
1001,0,100,20000,0.600000,0.020000,3800.000000,true,20000,167
1002,0,100,20000,0.600000,0.020000,3800.000000,true,20000,162
1003,0,100,20000,0.600000,0.020000,3800.000000,true,20000,161
1004,0,100,20000,0.600000,0.020000,3800.000000,true,20000,159
1005,0,100,20000,0.600000,0.020000,3800.000000,true,20000,158
1006,0,100,20000,0.600000,0.020000,3800.000000,true,20000,151
1007,0,100,20000,0.600000,0.020000,3800.000000,true,20000,154
1008,0,100,20000,0.600000,0.020000,3800.000000,true,20000,162
1009,0,100,20000,0.600000,0.020000,3800.000000,true,20000,149
1010,0,100,20000,0.600000,0.020000,3800.000000,true,20000,151
1011,0,100,20000,0.600000,0.020000,3800.000000,true,20000,156
1012,0,100,20000,0.600000,0.020000,3800.000000,true,20000,158
1013,0,100,20000,0.600000,0.020000,3800.000000,true,20000,164
1014,0,100,20000,0.600000,0.020000,3800.000000,true,20000,160
1015,0,100,20000,0.600000,0.020000,3800.000000,true,20000,152
1016,0,100,20000,0.600000,0.020000,3800.000000,true,20000,181
1017,0,100,20000,0.600000,0.020000,3800.000000,true,20000,189
1018,0,100,20000,0.600000,0.020000,3800.000000,true,20000,160
1019,0,100,20000,0.600000,0.020000,3800.000000,true,20000,151
1020,0,100,20000,0.600000,0.020000,3800.000000,true,20000,156
1021,0,100,20000,0.600000,0.020000,3800.000000,true,20000,183
1022,0,100,20000,0.600000,0.020000,3800.000000,true,20000,166
1023,0,100,20000,0.600000,0.020000,3800.000000,true,20000,151
1024,0,100,20000,0.600000,0.020000,3800.000000,true,20000,150
1025,0,100,20000,0.600000,0.020000,3800.000000,true,20000,145
1026,0,100,20000,0.600000,0.020000,3800.000000,true,20000,148
1027,0,100,20000,0.600000,0.020000,3800.000000,true,20000,152
1028,0,100,20000,0.600000,0.020000,3800.000000,true,20000,169
1029,0,100,20000,0.600000,0.020000,3800.000000,true,20000,166
1000,0,100,20000,0.600000,0.050000,3800.000000,true,20000,169
1001,0,100,20000,0.600000,0.050000,3800.000000,true,20000,150
1002,0,100,20000,0.600000,0.050000,3800.000000,true,20000,182
1003,0,100,20000,0.600000,0.050000,3800.000000,true,20000,147
1004,0,100,20000,0.600000,0.050000,3800.000000,true,20000,151
1005,0,100,20000,0.600000,0.050000,3800.000000,true,20000,183
1006,0,100,20000,0.600000,0.050000,3800.000000,true,20000,173
1007,0,100,20000,0.600000,0.050000,3800.000000,true,20000,161
1008,0,100,20000,0.600000,0.050000,3800.000000,true,20000,154
1009,0,100,20000,0.600000,0.050000,3800.000000,true,20000,166
1010,0,100,20000,0.600000,0.050000,3800.000000,true,20000,165
1011,0,100,20000,0.600000,0.050000,3800.000000,true,20000,158
1012,0,100,20000,0.600000,0.050000,3800.000000,true,20000,155
1013,0,100,20000,0.600000,0.050000,3800.000000,true,20000,165
1014,0,100,20000,0.600000,0.050000,3800.000000,true,20000,180
1015,0,100,20000,0.600000,0.050000,3800.000000,true,20000,149
1016,0,100,20000,0.600000,0.050000,3800.000000,true,20000,160
1017,0,100,20000,0.600000,0.050000,3800.000000,true,20000,151
1018,0,100,20000,0.600000,0.050000,3800.000000,true,20000,145
1019,0,100,20000,0.600000,0.050000,3800.000000,true,20000,139
1020,0,100,20000,0.600000,0.050000,3800.000000,true,20000,140
1021,0,100,20000,0.600000,0.050000,3800.000000,true,20000,136
1022,0,100,20000,0.600000,0.050000,3800.000000,true,20000,136
1023,0,100,20000,0.600000,0.050000,3800.000000,true,20000,137
1024,0,100,20000,0.600000,0.050000,3800.000000,true,20000,145
1025,0,100,20000,0.600000,0.050000,3800.000000,true,20000,176
1026,0,100,20000,0.600000,0.050000,3800.000000,true,20000,168
1027,0,100,20000,0.600000,0.050000,3800.000000,true,20000,152
1028,0,100,20000,0.600000,0.050000,3800.000000,true,20000,138
1029,0,100,20000,0.600000,0.050000,3800.000000,true,20000,152
1000,0,100,20000,0.600000,0.100000,3800.000000,true,20000,177
1001,0,100,20000,0.600000,0.100000,3800.000000,true,20000,145
1002,0,100,20000,0.600000,0.100000,3800.000000,true,20000,155
1003,0,100,20000,0.600000,0.100000,3800.000000,true,20000,145
1004,0,100,20000,0.600000,0.100000,3800.000000,true,20000,148
1005,0,100,20000,0.600000,0.100000,3800.000000,true,20000,149
1006,0,100,20000,0.600000,0.100000,3800.000000,true,20000,152
1007,0,100,20000,0.600000,0.100000,3800.000000,true,20000,140
1008,0,100,20000,0.600000,0.100000,3800.000000,true,20000,133
1009,0,100,20000,0.600000,0.100000,3800.000000,true,20000,135
1010,0,100,20000,0.600000,0.100000,3800.000000,true,20000,148
1011,0,100,20000,0.600000,0.100000,3800.000000,true,20000,162
1012,0,100,20000,0.600000,0.100000,3800.000000,true,20000,158
1013,0,100,20000,0.600000,0.100000,3800.000000,true,20000,164
1014,0,100,20000,0.600000,0.100000,3800.000000,true,20000,181
1015,0,100,20000,0.600000,0.100000,3800.000000,true,20000,215
1016,0,100,20000,0.600000,0.100000,3800.000000,true,20000,183
1017,0,100,20000,0.600000,0.100000,3800.000000,true,20000,155
1018,0,100,20000,0.600000,0.100000,3800.000000,true,20000,164
1019,0,100,20000,0.600000,0.100000,3800.000000,true,20000,177
1020,0,100,20000,0.600000,0.100000,3800.000000,true,20000,154
1021,0,100,20000,0.600000,0.100000,3800.000000,true,20000,144
1022,0,100,20000,0.600000,0.100000,3800.000000,true,20000,165
1023,0,100,20000,0.600000,0.100000,3800.000000,true,20000,155
1024,0,100,20000,0.600000,0.100000,3800.000000,true,20000,158
1025,0,100,20000,0.600000,0.100000,3800.000000,true,20000,151
1026,0,100,20000,0.600000,0.100000,3800.000000,true,20000,138
1027,0,100,20000,0.600000,0.100000,3800.000000,true,20000,156
1028,0,100,20000,0.600000,0.100000,3800.000000,true,20000,138
1029,0,100,20000,0.600000,0.100000,3800.000000,true,20000,140
1000,0,100,20000,0.700000,0.010000,3800.000000,true,20000,186
1001,0,100,20000,0.700000,0.010000,3800.000000,true,20000,145
1002,0,100,20000,0.700000,0.010000,3800.000000,true,20000,161
1003,0,100,20000,0.700000,0.010000,3800.000000,true,20000,143
1004,0,100,20000,0.700000,0.010000,3800.000000,true,20000,157
1005,0,100,20000,0.700000,0.010000,3800.000000,true,20000,154
1006,0,100,20000,0.700000,0.010000,3800.000000,true,20000,138
1007,0,100,20000,0.700000,0.010000,3800.000000,true,20000,137
1008,0,100,20000,0.700000,0.010000,3800.000000,true,20000,156
1009,0,100,20000,0.700000,0.010000,3800.000000,true,20000,156
1010,0,100,20000,0.700000,0.010000,3800.000000,true,20000,141
1011,0,100,20000,0.700000,0.010000,3800.000000,true,20000,135
1012,0,100,20000,0.700000,0.010000,3800.000000,true,20000,136
1013,0,100,20000,0.700000,0.010000,3800.000000,true,20000,140
1014,0,100,20000,0.700000,0.010000,3800.000000,true,20000,138
1015,0,100,20000,0.700000,0.010000,3800.000000,true,20000,138
1016,0,100,20000,0.700000,0.010000,3800.000000,true,20000,144
1017,0,100,20000,0.700000,0.010000,3800.000000,true,20000,140
1018,0,100,20000,0.700000,0.010000,3800.000000,true,20000,135
1019,0,100,20000,0.700000,0.010000,3800.000000,true,20000,137
1020,0,100,20000,0.700000,0.010000,3800.000000,true,20000,137
1021,0,100,20000,0.700000,0.010000,3800.000000,true,20000,154
1022,0,100,20000,0.700000,0.010000,3800.000000,true,20000,150
1023,0,100,20000,0.700000,0.010000,3800.000000,true,20000,147
1024,0,100,20000,0.700000,0.010000,3800.000000,true,20000,151
1025,0,100,20000,0.700000,0.010000,3800.000000,true,20000,172
1026,0,100,20000,0.700000,0.010000,3800.000000,true,20000,143
1027,0,100,20000,0.700000,0.010000,3800.000000,true,20000,147
1028,0,100,20000,0.700000,0.010000,3800.000000,true,20000,143
1029,0,100,20000,0.700000,0.010000,3800.000000,true,20000,138
1000,0,100,20000,0.700000,0.020000,3800.000000,true,20000,137
1001,0,100,20000,0.700000,0.020000,3800.000000,true,20000,140
1002,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1003,0,100,20000,0.700000,0.020000,3800.000000,true,20000,136
1004,0,100,20000,0.700000,0.020000,3800.000000,true,20000,163
1005,0,100,20000,0.700000,0.020000,3800.000000,true,20000,150
1006,0,100,20000,0.700000,0.020000,3800.000000,true,20000,141
1007,0,100,20000,0.700000,0.020000,3800.000000,true,20000,140
1008,0,100,20000,0.700000,0.020000,3800.000000,true,20000,140
1009,0,100,20000,0.700000,0.020000,3800.000000,true,20000,141
1010,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1011,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1012,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1013,0,100,20000,0.700000,0.020000,3800.000000,true,20000,146
1014,0,100,20000,0.700000,0.020000,3800.000000,true,20000,143
1015,0,100,20000,0.700000,0.020000,3800.000000,true,20000,141
1016,0,100,20000,0.700000,0.020000,3800.000000,true,20000,157
1017,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1018,0,100,20000,0.700000,0.020000,3800.000000,true,20000,140
1019,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1020,0,100,20000,0.700000,0.020000,3800.000000,true,20000,139
1021,0,100,20000,0.700000,0.020000,3800.000000,true,20000,147
1022,0,100,20000,0.700000,0.020000,3800.000000,true,20000,151
1023,0,100,20000,0.700000,0.020000,3800.000000,true,20000,135
1024,0,100,20000,0.700000,0.020000,3800.000000,true,20000,135
1025,0,100,20000,0.700000,0.020000,3800.000000,true,20000,136
1026,0,100,20000,0.700000,0.020000,3800.000000,true,20000,162
1027,0,100,20000,0.700000,0.020000,3800.000000,true,20000,154
1028,0,100,20000,0.700000,0.020000,3800.000000,true,20000,149
1029,0,100,20000,0.700000,0.020000,3800.000000,true,20000,150
1000,0,100,20000,0.700000,0.050000,3800.000000,true,20000,138
1001,0,100,20000,0.700000,0.050000,3800.000000,true,20000,136
1002,0,100,20000,0.700000,0.050000,3800.000000,true,20000,142
1003,0,100,20000,0.700000,0.050000,3800.000000,true,20000,143
1004,0,100,20000,0.700000,0.050000,3800.000000,true,20000,135
1005,0,100,20000,0.700000,0.050000,3800.000000,true,20000,139
1006,0,100,20000,0.700000,0.050000,3800.000000,true,20000,142
1007,0,100,20000,0.700000,0.050000,3800.000000,true,20000,174
1008,0,100,20000,0.700000,0.050000,3800.000000,true,20000,136
1009,0,100,20000,0.700000,0.050000,3800.000000,true,20000,166
1010,0,100,20000,0.700000,0.050000,3800.000000,true,20000,165
1011,0,100,20000,0.700000,0.050000,3800.000000,true,20000,161
1012,0,100,20000,0.700000,0.050000,3800.000000,true,20000,146
1013,0,100,20000,0.700000,0.050000,3800.000000,true,20000,162
1014,0,100,20000,0.700000,0.050000,3800.000000,true,20000,150
1015,0,100,20000,0.700000,0.050000,3800.000000,true,20000,153
1016,0,100,20000,0.700000,0.050000,3800.000000,true,20000,149
1017,0,100,20000,0.700000,0.050000,3800.000000,true,20000,159
1018,0,100,20000,0.700000,0.050000,3800.000000,true,20000,158
1019,0,100,20000,0.700000,0.050000,3800.000000,true,20000,169
1020,0,100,20000,0.700000,0.050000,3800.000000,true,20000,171
1021,0,100,20000,0.700000,0.050000,3800.000000,true,20000,173
1022,0,100,20000,0.700000,0.050000,3800.000000,true,20000,156
1023,0,100,20000,0.700000,0.050000,3800.000000,true,20000,156
1024,0,100,20000,0.700000,0.050000,3800.000000,true,20000,150
1025,0,100,20000,0.700000,0.050000,3800.000000,true,20000,170
1026,0,100,20000,0.700000,0.050000,3800.000000,true,20000,151
1027,0,100,20000,0.700000,0.050000,3800.000000,true,20000,165
1028,0,100,20000,0.700000,0.050000,3800.000000,true,20000,158
1029,0,100,20000,0.700000,0.050000,3800.000000,true,20000,136
1000,0,100,20000,0.700000,0.100000,3800.000000,true,20000,130
1001,0,100,20000,0.700000,0.100000,3800.000000,true,20000,140
1002,0,100,20000,0.700000,0.100000,3800.000000,true,20000,135
1003,0,100,20000,0.700000,0.100000,3800.000000,true,20000,156
1004,0,100,20000,0.700000,0.100000,3800.000000,true,20000,160
1005,0,100,20000,0.700000,0.100000,3800.000000,true,20000,145
1006,0,100,20000,0.700000,0.100000,3800.000000,true,20000,157
1007,0,100,20000,0.700000,0.100000,3800.000000,true,20000,144
1008,0,100,20000,0.700000,0.100000,3800.000000,true,20000,175
1009,0,100,20000,0.700000,0.100000,3800.000000,true,20000,151
1010,0,100,20000,0.700000,0.100000,3800.000000,true,20000,148
1011,0,100,20000,0.700000,0.100000,3800.000000,true,20000,161
1012,0,100,20000,0.700000,0.100000,3800.000000,true,20000,183
1013,0,100,20000,0.700000,0.100000,3800.000000,true,20000,171
1014,0,100,20000,0.700000,0.100000,3800.000000,true,20000,151
1015,0,100,20000,0.700000,0.100000,3800.000000,true,20000,161
1016,0,100,20000,0.700000,0.100000,3800.000000,true,20000,160
1017,0,100,20000,0.700000,0.100000,3800.000000,true,20000,146
1018,0,100,20000,0.700000,0.100000,3800.000000,true,20000,153
1019,0,100,20000,0.700000,0.100000,3800.000000,true,20000,140
1020,0,100,20000,0.700000,0.100000,3800.000000,true,20000,138
1021,0,100,20000,0.700000,0.100000,3800.000000,true,20000,139
1022,0,100,20000,0.700000,0.100000,3800.000000,true,20000,139
1023,0,100,20000,0.700000,0.100000,3800.000000,true,20000,140
1024,0,100,20000,0.700000,0.100000,3800.000000,true,20000,142
1025,0,100,20000,0.700000,0.100000,3800.000000,true,20000,142
1026,0,100,20000,0.700000,0.100000,3800.000000,true,20000,152
1027,0,100,20000,0.700000,0.100000,3800.000000,true,20000,146
1028,0,100,20000,0.700000,0.100000,3800.000000,true,20000,151
1029,0,100,20000,0.700000,0.100000,3800.000000,true,20000,141
1000,0,100,20000,0.800000,0.010000,3800.000000,true,20000,138
1001,0,100,20000,0.800000,0.010000,3800.000000,true,20000,140
1002,0,100,20000,0.800000,0.010000,3800.000000,true,20000,136
1003,0,100,20000,0.800000,0.010000,3800.000000,true,20000,170
1004,0,100,20000,0.800000,0.010000,3800.000000,true,20000,146
1005,0,100,20000,0.800000,0.010000,3800.000000,true,20000,139
1006,0,100,20000,0.800000,0.010000,3700.000000,false,20000,144
1007,0,100,20000,0.800000,0.010000,3800.000000,true,20000,190
1008,0,100,20000,0.800000,0.010000,3800.000000,true,20000,155
1009,0,100,20000,0.800000,0.010000,3800.000000,true,20000,148
1010,0,100,20000,0.800000,0.010000,3800.000000,true,20000,197
1011,0,100,20000,0.800000,0.010000,3800.000000,true,20000,175
1012,0,100,20000,0.800000,0.010000,3800.000000,true,20000,159
1013,0,100,20000,0.800000,0.010000,3800.000000,true,20000,161
1014,0,100,20000,0.800000,0.010000,3800.000000,true,20000,179
1015,0,100,20000,0.800000,0.010000,3800.000000,true,20000,150
1016,0,100,20000,0.800000,0.010000,3800.000000,true,20000,152
1017,0,100,20000,0.800000,0.010000,3800.000000,true,20000,156
1018,0,100,20000,0.800000,0.010000,3800.000000,true,20000,153
1019,0,100,20000,0.800000,0.010000,3800.000000,true,20000,140
1020,0,100,20000,0.800000,0.010000,3800.000000,true,20000,141
1021,0,100,20000,0.800000,0.010000,3800.000000,true,20000,166
1022,0,100,20000,0.800000,0.010000,3800.000000,true,20000,154
1023,0,100,20000,0.800000,0.010000,3800.000000,true,20000,156
1024,0,100,20000,0.800000,0.010000,3800.000000,true,20000,173
1025,0,100,20000,0.800000,0.010000,3800.000000,true,20000,150
1026,0,100,20000,0.800000,0.010000,3800.000000,true,20000,159
1027,0,100,20000,0.800000,0.010000,3800.000000,true,20000,175
1028,0,100,20000,0.800000,0.010000,3800.000000,true,20000,156
1029,0,100,20000,0.800000,0.010000,3800.000000,true,20000,150
1000,0,100,20000,0.800000,0.020000,3800.000000,true,20000,147
1001,0,100,20000,0.800000,0.020000,3800.000000,true,20000,154
1002,0,100,20000,0.800000,0.020000,3800.000000,true,20000,162
1003,0,100,20000,0.800000,0.020000,3800.000000,true,20000,149
1004,0,100,20000,0.800000,0.020000,3800.000000,true,20000,134
1005,0,100,20000,0.800000,0.020000,3800.000000,true,20000,142
1006,0,100,20000,0.800000,0.020000,3800.000000,true,20000,139
1007,0,100,20000,0.800000,0.020000,3800.000000,true,20000,142
1008,0,100,20000,0.800000,0.020000,3800.000000,true,20000,141
1009,0,100,20000,0.800000,0.020000,3800.000000,true,20000,144
1010,0,100,20000,0.800000,0.020000,3800.000000,true,20000,148
1011,0,100,20000,0.800000,0.020000,3800.000000,true,20000,142
1012,0,100,20000,0.800000,0.020000,3800.000000,true,20000,148
1013,0,100,20000,0.800000,0.020000,3800.000000,true,20000,149
1014,0,100,20000,0.800000,0.020000,3800.000000,true,20000,160
1015,0,100,20000,0.800000,0.020000,3800.000000,true,20000,146
1016,0,100,20000,0.800000,0.020000,3800.000000,true,20000,147
1017,0,100,20000,0.800000,0.020000,3800.000000,true,20000,158
1018,0,100,20000,0.800000,0.020000,3800.000000,true,20000,147
1019,0,100,20000,0.800000,0.020000,3800.000000,true,20000,139
1020,0,100,20000,0.800000,0.020000,3800.000000,true,20000,140
1021,0,100,20000,0.800000,0.020000,3800.000000,true,20000,138
1022,0,100,20000,0.800000,0.020000,3800.000000,true,20000,136
1023,0,100,20000,0.800000,0.020000,3800.000000,true,20000,150
1024,0,100,20000,0.800000,0.020000,3800.000000,true,20000,162
1025,0,100,20000,0.800000,0.020000,3800.000000,true,20000,136
1026,0,100,20000,0.800000,0.020000,3800.000000,true,20000,141
1027,0,100,20000,0.800000,0.020000,3800.000000,true,20000,164
1028,0,100,20000,0.800000,0.020000,3800.000000,true,20000,185
1029,0,100,20000,0.800000,0.020000,3800.000000,true,20000,146
