,,foundOptimal,evaluations,evaluations,elapsedMillis,elapsedMillis
,,mean,mean,std,mean,std
crossover,mutation,,,,,
0.6,0.01,0.9666666666666667,803.3666666666667,3630.39965011295,8.133333333333333,25.973107223637584
0.6,0.02,1.0,325.3333333333333,1143.2557964392545,5.933333333333334,15.076662333767269
0.6,0.05,1.0,125.73333333333333,88.03640835133098,4.133333333333334,8.348996773651118
0.6,0.1,1.0,110.16666666666667,31.038444830101657,3.566666666666667,7.089007193430245
0.7,0.01,1.0,243.43333333333334,711.053549723727,5.666666666666667,13.26736554504123
0.7,0.02,1.0,174.3,323.3521780265022,5.166666666666667,11.011227290215276
0.7,0.05,1.0,113.93333333333334,35.11845308561351,3.966666666666667,7.832220512786878
0.7,0.1,1.0,112.56666666666666,31.279257568282983,3.966666666666667,7.513130268854761
0.8,0.01,0.9666666666666667,1351.2,4226.4110673649375,12.066666666666666,31.42032433965626
0.8,0.02,1.0,318.3333333333333,879.8186464122665,6.066666666666666,15.158776525403574
0.8,0.05,1.0,212.96666666666667,562.7194121243812,5.1,11.724863060739919
0.8,0.1,1.0,118.8,56.109130119425494,3.8666666666666667,7.722485455421421
0.9,0.01,1.0,1365.3333333333333,3962.726685201642,12.566666666666666,31.519762091406253
0.9,0.02,1.0,311.7,924.2505687274979,6.0,14.600425123711416
0.9,0.05,1.0,137.1,101.68828298556193,4.7,9.900017415519336
0.9,0.1,1.0,112.23333333333333,35.25149381362375,3.933333333333333,8.01693609602921
